country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2000,26.53226615328611,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2001,26.54732225317455,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2002,28.79227230360561,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2003,30.40326351181404,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2004,32.0068348445377,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2005,33.61507134517596,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2006,35.22018691465561,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2007,36.8222747231595,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2008,38.4211792119786,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2009,40.01687830984479,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2010,41.60934807639597,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2011,43.19864421242,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2012,44.78464758476973,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2013,46.36733326858456,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2014,47.94668017994436,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2015,49.52270912152794,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2016,51.09533243857523,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2017,52.66488035661175,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2018,54.23108728334064,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2019,55.79358164953777,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2020,57.35202462379568,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2021,58.90609323285223,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of population using non-piped improved drinking water sources,2022,59.92939395190833,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2000,18.14168831703498,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2001,17.92981561159739,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2002,17.63425780983164,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2003,17.36008963840399,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2004,17.10750482694252,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2005,16.87762949327696,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2006,16.67008455076474,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2007,16.48520902087757,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2008,16.32329860183986,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2009,16.18555925708001,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2010,16.07078853508122,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2011,15.97988954591856,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2012,15.91245163934102,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2013,15.87211299696728,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2014,15.85735556371487,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2015,15.86800348675037,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2016,15.90313555880571,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2017,15.96208170761867,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2018,16.04412914608241,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2019,16.14843887765878,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2020,16.27424452898064,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2021,16.21289217138109,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of population using non-piped improved drinking water sources,2022,16.15347261640766,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2000,14.04725801500006,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2001,14.69818356441479,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2002,15.35074958101486,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2003,16.00527911882659,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2004,16.66175997676878,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2005,17.32050805760568,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2006,17.98118304304096,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2007,18.64409744104476,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2008,19.30891381934446,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2009,19.97786836167878,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2010,20.6501251266639,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2011,21.3261345603823,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2012,22.00570483160995,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2013,22.68896030139772,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2014,23.37555422996388,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2015,24.0657711903866,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2016,24.75926414018387,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2017,25.45631458140489,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2018,26.15658070879914,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2019,26.86018380828516,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2020,27.56694090026641,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2021,28.27682369915,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of population using non-piped improved drinking water sources,2022,28.19856684086675,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2000,1.260811258927504,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2001,1.19576697520904,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2002,1.130722691490405,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2003,1.065678407771884,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2004,1.00063412405342,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2005,.9355898403348988,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2006,.8705455566162641,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2007,.8055012728977431,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2008,.7404569891792789,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2009,.6754127054606442,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2010,.6103684217421232,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2011,.5453241380236591,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2012,.4802798543051381,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2013,.4152355705865034,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2014,.3501912868680392,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2015,.2851470031495182,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2016,.2201027194308836,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2017,.1550584357123626,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2018,.1550584357123626,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2019,.1550584357123626,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2020,.1550584357123626,Total,,%,,,,Total
American Samoa,AS,ASM,16,Proportion of population using non-piped improved drinking water sources,2021,.1550584357123626,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2000,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2001,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2002,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2003,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2004,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2005,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2006,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2007,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2008,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2009,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2010,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2011,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2012,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2013,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2014,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2015,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2016,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2017,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2018,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2019,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2020,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2021,0,Total,,%,,,,Total
Andorra,AD,AND,20,Proportion of population using non-piped improved drinking water sources,2022,0,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2000,37.80363308907548,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2001,38.2741674014259,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2002,38.73825976025263,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2003,38.1821944223359,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2004,37.57451960091899,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2005,36.9138622623223,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2006,36.12352208695395,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2007,35.29949538935462,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2008,34.44234714933928,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2009,33.55168919877034,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2010,32.62823214756809,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2011,31.67208663046571,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2012,30.68344550605581,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2013,29.66259166045567,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2014,28.60993584296167,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2015,27.52580947529089,Total,,%,,,,Total
Angola,AO,AGO,24,Proportion of population using non-piped improved drinking water sources,2016,26.41107421898377,Total,,%,,,,Total
